001324.SZ 长青科技 运输设备
001326.SZ 联域股份 电气设备
001328.SZ 登康口腔 日用化工
001330.SZ 博纳影业 影视音像
001331.SZ 胜通能源 仓储物流
001332.SZ 锡装股份 专用机械
001333.SZ 光华股份 化工原料
001336.SZ 楚环科技 专用机械
001337.SZ 四川黄金 黄金
001338.SZ 永顺泰 啤酒
001339.SZ 智微智能 IT设备
001358.SZ 兴欣新材 化工原料
001359.SZ 平安电工 矿物制品
001360.SZ 南矿集团 工程机械
001366.SZ 播恩集团 饲料
001367.SZ 海森药业 化学制药
001368.SZ 通达创智 文教休闲
001373.SZ 翔腾新材 元器件
001376.SZ 百通能源 供气供热
001378.SZ 德冠新材 塑料
001379.SZ 腾达科技 机械基件
001380.SZ 华纬科技 汽车配件
001387.SZ 雪祺电气 家用电器
001389.SZ 广合科技 元器件
001696.SZ 宗申动力 摩托车
001872.SZ 招商港口 港口
001896.SZ 豫能控股 火力发电
001914.SZ 招商积余 房产服务
001965.SZ 招商公路 路桥
001979.SZ 招商蛇口 全国地产
002001.SZ 新和成 化学制药
002003.SZ 伟星股份 服饰
002004.SZ 华邦健康 农药化肥
002005.SZ ST德豪 家用电器
002006.SZ 精工科技 专用机械
002007.SZ 华兰生物 生物制药
002008.SZ 大族激光 专用机械
002009.SZ 天奇股份 工程机械
002010.SZ 传化智联 仓储物流
002011.SZ 盾安环境 家用电器
002012.SZ 凯恩股份 造纸
002014.SZ 永新股份 塑料
OK 0.14845058570726444 0.1232483513469607 0.10623711536595093 15.3556
002015.SZ 协鑫能科 新型电力
002016.SZ 世荣兆业 区域地产
002017.SZ 东信和平 通信设备
002019.SZ 亿帆医药 化学制药
002020.SZ 京新药业 化学制药
002021.SZ *ST中捷 纺织机械
002022.SZ 科华生物 医疗保健
002023.SZ 海特高新 航空
002024.SZ ST易购 电器连锁
002025.SZ 航天电器 元器件
002026.SZ 山东威达 机械基件
002027.SZ 分众传媒 广告包装
002028.SZ 思源电气 电气设备
002029.SZ 七匹狼 服饰
002030.SZ 达安基因 医疗保健
002031.SZ 巨轮智能 汽车配件
002032.SZ 苏泊尔 家用电器
002033.SZ 丽江股份 旅游景点
002034.SZ 旺能环境 环境保护
002035.SZ 华帝股份 家用电器
002036.SZ 联创电子 元器件
002037.SZ 保利联合 化工原料
002038.SZ 双鹭药业 生物制药
002039.SZ 黔源电力 水力发电
002040.SZ 南京港 港口
002041.SZ 登海种业 种植业
002042.SZ 华孚时尚 纺织
002043.SZ 兔宝宝 其他建材
002044.SZ 美年健康 医疗保健
002045.SZ 国光电器 元器件
OK 3.456880585449487 1.0145174585088095 3.0923706545178504 19.5769
002046.SZ 国机精工 机械基件
002047.SZ 宝鹰股份 装修装饰
002048.SZ 宁波华翔 汽车配件
002049.SZ 紫光国微 半导体
002050.SZ 三花智控 家用电器
002051.SZ 中工国际 建筑工程
002052.SZ *ST同洲 电气设备
002053.SZ 云南能投 食品
002054.SZ 德美化工 染料涂料
002055.SZ 得润电子 元器件
002056.SZ 横店东磁 电气设备
002057.SZ 中钢天源 矿物制品
002058.SZ 威尔泰 电器仪表
002059.SZ 云南旅游 旅游景点
002060.SZ 广东建工 建筑工程
002061.SZ 浙江交科 建筑工程
002062.SZ 宏润建设 建筑工程
002063.SZ 远光软件 软件服务
002064.SZ 华峰化学 化纤
002065.SZ 东华软件 软件服务
002066.SZ 瑞泰科技 其他建材
002067.SZ 景兴纸业 造纸
002068.SZ 黑猫股份 化工原料
002069.SZ 獐子岛 渔业
002072.SZ 凯瑞德 商贸代理
002073.SZ 软控股份 专用机械
002074.SZ 国轩高科 电气设备
002075.SZ 沙钢股份 特种钢
002076.SZ 星光股份 家用电器
002077.SZ 大港股份 半导体
002078.SZ 太阳纸业 造纸
002079.SZ 苏州固锝 半导体
002080.SZ 中材科技 玻璃
002081.SZ 金螳螂 装修装饰
002082.SZ 万邦德 中成药
002083.SZ 孚日股份 纺织
002084.SZ 海鸥住工 家居用品
002085.SZ 万丰奥威 汽车配件
002086.SZ *ST东洋 医疗保健
002087.SZ *ST新纺 纺织
002088.SZ 鲁阳节能 矿物制品
002090.SZ 金智科技 软件服务
002091.SZ 江苏国泰 商贸代理
002092.SZ 中泰化学 化工原料
002093.SZ 国脉科技 通信设备
002094.SZ 青岛金王 日用化工
002095.SZ 生意宝 互联网
002096.SZ 易普力 化工原料
002097.SZ 山河智能 工程机械
002098.SZ 浔兴股份 服饰
002099.SZ 海翔药业 化学制药
002100.SZ 天康生物 饲料
002101.SZ 广东鸿图 汽车配件
002102.SZ 能特科技 化学制药
002103.SZ 广博股份 文教休闲
002104.SZ 恒宝股份 通信设备
002105.SZ 信隆健康 摩托车
002106.SZ 莱宝高科 元器件
002107.SZ 沃华医药 中成药
002108.SZ 沧州明珠 塑料
002109.SZ 兴化股份 化工原料
002110.SZ 三钢闽光 普钢
002111.SZ 威海广泰 航空
002112.SZ 三变科技 电气设备
002114.SZ 罗平锌电 铅锌
002115.SZ 三维通信 互联网
002116.SZ 中国海诚 建筑工程
002117.SZ 东港股份 广告包装
002119.SZ 康强电子 半导体
002120.SZ 韵达股份 仓储物流
002121.SZ 科陆电子 电器仪表
002122.SZ 汇洲智能 机械基件
002123.SZ 梦网科技 互联网
002124.SZ ST天邦 农业综合
002125.SZ 湘潭电化 化工原料
002126.SZ 银轮股份 汽车配件
002127.SZ 南极电商 互联网
002128.SZ 电投能源 铝
002129.SZ TCL中环 电气设备
002130.SZ 沃尔核材 电气设备
002131.SZ 利欧股份 互联网
002132.SZ 恒星科技 钢加工
002133.SZ 广宇集团 全国地产
002134.SZ 天津普林 元器件
002135.SZ 东南网架 钢加工
002136.SZ 安纳达 化工原料
002137.SZ 实益达 元器件
002138.SZ 顺络电子 元器件
002139.SZ 拓邦股份 元器件
002140.SZ 东华科技 建筑工程
OK 0.13410277965606332 0.20189613509015544 0.6858774670808763 18.0136
002141.SZ *ST贤丰 农业综合
002142.SZ 宁波银行 银行
002144.SZ 宏达高科 纺织
002145.SZ 中核钛白 化工原料
002146.SZ 荣盛发展 全国地产
002148.SZ 北纬科技 互联网
002149.SZ 西部材料 小金属
002150.SZ 通润装备 机械基件
002151.SZ 北斗星通 通信设备
002152.SZ 广电运通 IT设备
002153.SZ 石基信息 软件服务
002154.SZ 报喜鸟 服饰
002155.SZ 湖南黄金 黄金
002156.SZ 通富微电 半导体
002157.SZ *ST正邦 农业综合
002158.SZ 汉钟精机 工程机械
OK 0.32459602061178805 0.34186044868260923 0.25487179664087534 12.7093
002159.SZ 三特索道 旅游服务
002160.SZ 常铝股份 铝
002161.SZ 远望谷 通信设备
002162.SZ 悦心健康 陶瓷
002163.SZ 海南发展 装修装饰
002164.SZ 宁波东力 机械基件
002165.SZ 红宝丽 化工原料
002166.SZ 莱茵生物 中成药
002167.SZ 东方锆业 小金属
002168.SZ 惠程科技 互联网
002169.SZ 智光电气 电气设备
002170.SZ 芭田股份 农药化肥
002171.SZ 楚江新材 铜
002172.SZ 澳洋健康 医疗保健
002173.SZ 创新医疗 医疗保健
002174.SZ 游族网络 互联网
002175.SZ 东方智造 电器仪表
002176.SZ 江特电机 小金属
002177.SZ 御银股份 其他商业
002178.SZ 延华智能 软件服务
002179.SZ 中航光电 元器件
002180.SZ 纳思达 IT设备
002181.SZ 粤传媒 出版业
002182.SZ 宝武镁业 小金属
002183.SZ 怡亚通 仓储物流
002184.SZ 海得控制 软件服务
002185.SZ 华天科技 半导体
002186.SZ 全聚德 酒店餐饮
002187.SZ 广百股份 百货
002188.SZ 中天服务 房产服务
002189.SZ 中光学 元器件
002190.SZ 成飞集成 汽车配件
002191.SZ 劲嘉股份 广告包装
002192.SZ 融捷股份 小金属
002193.SZ 如意集团 纺织
002194.SZ 武汉凡谷 通信设备
002195.SZ 岩山科技 软件服务
002196.SZ 方正电机 纺织机械
002197.SZ ST证通 IT设备
002198.SZ 嘉应制药 中成药
002199.SZ 东晶电子 元器件
002200.SZ ST交投 建筑工程
002201.SZ 正威新材 玻璃
002202.SZ 金风科技 电气设备
002203.SZ 海亮股份 铜
002204.SZ 大连重工 专用机械
002205.SZ 国统股份 其他建材
002206.SZ 海利得 化纤
002207.SZ 准油股份 石油开采
002208.SZ 合肥城建 区域地产
002209.SZ 达意隆 轻工机械
002210.SZ 飞马国际 环境保护
002211.SZ 宏达新材 橡胶
002212.SZ 天融信 软件服务
002213.SZ 大为股份 半导体
002214.SZ 大立科技 电器仪表
002215.SZ 诺普信 农药化肥
002216.SZ 三全食品 食品
002217.SZ *ST合泰 元器件
002218.SZ 拓日新能 电气设备
